filename,int-bounds,big-arr,big-arr-10x,linked,dlinked,bintree
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp860.h_cp860_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp861.h_cp861_wctomb.c,0,,1,,,
extr_Arduinotoolssdklwipsrcappespconn_buf.c_ringbuf_reset.c,0,,,,,
extr_Arduinotoolssdklwipsrccoredef.c_lwip_htonl.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1256.h_cp1256_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1257.h_cp1257_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1163.h_cp1163_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1250.h_cp1250_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp775.h_cp775_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp850.h_cp850_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp852.h_cp852_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp853.h_cp853_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1046.h_cp1046_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1124.h_cp1124_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1251.h_cp1251_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1252.h_cp1252_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1125.h_cp1125_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1129.h_cp1129_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1253.h_cp1253_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1254.h_cp1254_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_2.h_iso8859_2_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_3.h_iso8859_3_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp50221_0212_ext.h_cp50221_0212_ext_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp737.h_cp737_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1161.h_cp1161_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1162.h_cp1162_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp864.h_cp864_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp865.h_cp865_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp874.h_cp874_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp922.h_cp922_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp856.h_cp856_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp1131.h_cp1131_wctomb.c,,,0,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp866.h_cp866_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp869.h_cp869_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp437.h_cp437_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp50221_0208_ext.h_cp50221_0208_ext_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgeorgian_academy.h_georgian_academy_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgeorgian_ps.h_georgian_ps_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libarmscii_8.h_armscii_8_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libascii.h_ascii_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp857.h_cp857_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp858.h_cp858_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_14.h_iso8859_14_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libjava.h_java_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp862.h_cp862_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp863.h_cp863_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_10.h_iso8859_10_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_11.h_iso8859_11_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_9.h_iso8859_9_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_cnext.h_iso2022_cn_ext_reset.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_15.h_iso8859_15_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_16.h_iso8859_16_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgb18030uni.h_gb18030uni_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgbkext_inv.h_gbkext_inv_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libflushwc.h_normal_flushwc.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libgb18030ext.h_gb18030ext_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libatarist.h_atarist_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libjisx0201.h_jisx0201_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso646_jp.h_iso646_jp_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_1.h_iso8859_1_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso646_cn.h_iso646_cn_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_8.h_iso8859_8_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp932ext.h_cp932ext_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_iceland.h_mac_iceland_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_romania.h_mac_romania_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libhp_roman8.h_hp_roman8_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_kr.h_iso2022_kr_reset.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_jp3.h_iso2022_jp3_flushwc.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_jp2.h_iso2022_jp2_reset.c,0,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libmac_arabic.h_mac_arabic_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso8859_4.h_iso8859_4_wctomb.c,0,,1,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libcp936ext.h_cp936ext_wctomb.c,0,,1,,,
extr_Arduinotestsdevicetest_libctstring.c_myset.c,,,0,,,
