name,int-boundsO0,int-boundsO2,int-boundsO3,int-boundsOz,big-arrO0,big-arrO2,big-arrO3,big-arrOz,big-arr-10xO0,big-arr-10xO2,big-arr-10xO3,big-arr-10xOz,linkedO0,linkedO2,linkedO3,linkedOz,dlinkedO0,dlinkedO2,dlinkedO3,dlinkedOz,bintreeO0,bintreeO2,bintreeO3,bintreeOz
extr_opensslcryptoececx_meth.c_ecd_ctrl.c,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,
extr_linuxdriversisdngigasetcommon.c_gigaset_blockdriver.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxdriversstagingrtl8192uieee80211ieee80211_crypt_tkip.c_Lo16.c,100,100,100,100,255,255,255,255,10,10,10,10,,,,,,,,,,,,
extr_darwin-xnubsdnfsnfs4_subs.c_nfs4_ace_nfstype_to_vfstype.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversmediapcittpcibudget-core.c_ttpci_budget_init_hooks.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxarchpowerpcperfe6500-pmu.c_e6500_xlate_event.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_FFmpeglibavfiltervf_deinterlace_qsv.c_frame_alloc.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversmediaplatformti-vpevpdma_priv.h_ctd_type_source_ctl.c,100,100,100,100,255,255,255,255,10,10,10,10,,,,,,,,,,,,
extr_linuxnet6lowpannhc_ghc_ext_route.c_route_ghid_setup.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_reactosdll3rdpartylibtifftif_dirread.c_TIFFReadDirEntryCheckRangeLong8Slong.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_labenginecodeqcommonhuffman.c_get_bit.c,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
extr_FFmpeglibavcodecv4l2_m2m.c_v4l2_splane_video.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_reactosdllwin32dbghelpsymbol.c_cmp_addr.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_radare2librhashhamdist.c_hamdist.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxsoundcoreseqossseq_oss_timer.h_snd_seq_oss_timer_is_realtime.c,479,479,479,479,479,479,479,479,479,479,479,479,,,,,,,,,,,,
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_SP_VS_CTRL_REG0_HALFREGFOOTPRINT.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversgpudrmmsmadrenoa6xx.xml.h_A6XX_TEX_CONST_8_BASE_HI.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_redissrcobject.c_streamRadixTreeMemoryUsage.c,57792,57792,57792,57792,57792,57792,57792,57792,57792,57792,57792,57792,,,,,,,,,,,,
extr_darwin-xnubsdvfsvfs_bio.c_buf_setdirtyoff.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_reactosdllwin32mciseqmcimidi.c_mmr2mci.c,100,100,100,100,255,255,255,255,10,10,10,10,,,,,,,,,,,,
extr_linuxnetappletalkdev.c_ltalk_setup.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_obs-studiopluginsmac-capturemac-audio.c_convert_ca_speaker_layout.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxmmfilemap.c_shrink_readahead_size_eio.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxdriversscsibfabfa_fcpim.c_bfa_ioim_profile_start.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_8822b......wifi.h_is_hal_stop.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15toolscjk_tab_to_h.c_row_byte_uhc_2.c,261,261,261,261,416,416,416,416,171,171,171,171,,,,,,,,,,,,
extr_linuxdriversgpudrmi915intel_fbc.c_intel_fbc_is_active.c,479,479,479,479,479,479,479,479,479,479,479,479,,,,,,,,,,,,
extr_linuxtoolspowerx86turbostatturbostat.c_has_hsw_msrs.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_tmuxscreen.c_screen_set_cursor_style.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_CP_DRAW_INDX_OFFSET_1_NUM_INSTANCES.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdrivershwmonlm90.c_temp_from_s8.c,100000,100000,100000,100000,255000,255000,255000,255000,10000,10000,10000,10000,,,,,,,,,,,,
extr_redisdepsluasrclua_cjson.c_json_decode_ascend.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxdriversnetwirelessinteliwlwififwapicmdhdr.h_iwl_cmd_version.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversandroidbinder.c_binder_vm_fault.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_ibreaka1_Slot_inst_encode.c,,,,,,,,,,,,,,,,,,,,,,,,
extr_linuxkernelscheddeadline.c_dl_is_implicit.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversmediausbpvrusb2pvrusb2-hdw.c_pvr2_hdw_get_streaming.c,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,
extr_darwin-xnubsdmiscfsdevfsdevfs_fdesc_support.c_fdesc_pathconf.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_darwin-xnuosfmkkernbsd_kern.c_get_thread_lock_count.c,479,479,479,479,479,479,479,479,479,479,479,479,,,,,,,,,,,,
extr_linuxdriversnetethernetinteligbvfnetdev.c_igbvf_desc_unused.c,249,249,249,249,249,249,249,249,249,249,249,249,,,,,,,,,,,,
extr_reactosdriversfilesystemsext2srcmisc.c_Ext2IsDot.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversnetethernetstmicrostmmacstmmac_ethtool.c_stmmac_ethtool_get_regs_len.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_jqsrclocfile.c_locfile_retain.c,480,480,480,480,480,480,480,480,480,480,480,480,,,,,,,,,,,,
extr_linuxarchx86eventsinteluncore_nhmex.c_nhmex_bbox_hw_config.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversmddm-cache-policy-smq.c_safe_mod.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxdriversmediausbcx231xxcx231xx-i2c.c_functionality.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
extr_linuxsoundsocintelskylakeskl-sst-dsp.c_is_skl_dsp_running.c,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
